Nombre de la Unidad Económica,Razón social,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Número exterior o kilómetro,Tipo de asentamiento humano,Nombre de asentamiento humano,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Latitud,Longitud,Fecha de incorporación al DENUE
OPERADORA DE AGUA PRIETA CINEMALL SA DE CV,,31 a 50 personas,CALLE,FEDERAL NUMERO 2,,COLONIA,EJIDAL II,84269,26,SONORA,2,Agua Prieta,1,Agua Prieta                                                                                                   ,1563,31.3143402,-109.5473823,2010-07
105 CINEMEX GUAYABAL TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,PERIFERICO,CARLOS PELLICER CÁMARA,205,COLONIA,GUAYABAL,86090,27,TABASCO,4,Centro,1,Villahermosa                                                                                                  ,846,17.97254486,-92.9236748,2014-12
28 CINEMEX CARDENAS TRADICIONAL,OPERADORA DE CINEMAS,31 a 50 personas,PROLONGACION,PERIFÉRICO,589,COLONIA,RANCHERIA,86500,27,TABASCO,2,Cárdenas,1,Cárdenas                                                                                                      ,1337,17.97571377,-93.37645806,2014-12
44 CINEMEX CITY CENTEVILLAHERMOSA PREMIUM,OPERADORA DE CINEMAS,11 a 30 personas,AVENIDA,CÁRDENAS-HUIMANGUILLO,1107,COLONIA,CENTRO,86597,27,TABASCO,8,Huimanguillo,1,Huimanguillo                                                                                                  ,652,17.83324669,-93.39783521,2019-11
53 CINEMEX CRYSTAL VILLAHERMOSA POP,OPERADORA DE CINEMAS,11 a 30 personas,AVENIDA,QUINTIN ARAUZ CARRILLO,0,COLONIA,ATASTA DE SERRA,86100,27,TABASCO,4,Centro,1,Villahermosa                                                                                                  ,831,17.98005822,-92.93991663,2025-04
7 CINEMEX ALTABRISA PLATINO,OPERADORA DE CINEMAS,11 a 30 personas,PERIFERICO,CARLOS PELLICER CÁMARA,501,COLONIA,PLUTARCO ELIAS CALLES,86190,27,TABASCO,4,Centro,1,Villahermosa                                                                                                  ,2344,17.96775555,-92.94104179,2013-07
8 CINEMEX ALTABRISA TRADICIONAL,OPERADORA DE CINEMAS,31 a 50 personas,PERIFERICO,CARLOS PELLICER CÁMARA,501,COLONIA,PLUTARCO ELIAS CALLES,86190,27,TABASCO,4,Centro,1,Villahermosa                                                                                                  ,2344,17.96775555,-92.94104179,2025-04
CINEPOLIS AMERICAS VILLAHERMOSA,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,AVENIDA,PROFESOR RAMÓN MENDOZA HERRERA,102,COLONIA,EL RECREO,86029,27,TABASCO,4,Centro,1,Villahermosa                                                                                                  ,190A,18.01405612,-92.92026517,2010-07
CINEPOLIS CHEDRAUI MACUSPANA,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,CALLE,BENITO JUÁREZ GARCÍA,,COLONIA,CENTRO,86706,27,TABASCO,12,Macuspana,1,Macuspana                                                                                                     ,513,17.76324858,-92.58872421,2010-07
CINEPOLIS MC COMALCALCO,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,BOULEVARD,ADOLFO LÓPEZ MATEOS,102,COLONIA,CENTRO,86340,27,TABASCO,5,Comalcalco,1,Comalcalco                                                                                                    ,59,18.26723226,-93.22040661,2012-06
CINEPOLIS MC SAN JOAQUÍN,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,AVENIDA,CARLOS PELLICER CÁMARA,1059,COLONIA,18 DE MARZO,86140,27,TABASCO,4,Centro,1,Villahermosa                                                                                                  ,899,17.96950524,-92.9692919,2014-12
CINEPOLIS PLAZA CRYSTAL PARAÍSO,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,BOULEVARD,MANUEL A ROMERO ZURITA,1,COLONIA,LA CEIBA,86605,27,TABASCO,14,Paraíso,1,Paraíso                                                                                                       ,170,18.39832867,-93.20744737,2016-01
CINEPOLIS PLAZA CUNDUACAN,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,AVENIDA,PERIFÉRICO,52,COLONIA,CENTRO,86690,27,TABASCO,6,Cunduacán,1,Cunduacán                                                                                                     ,179,18.06720342,-93.17697038,2018-03
CINEPOLIS PLAZA DEPORTIVA,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,AVENIDA,HERÓICO COLEGIO MILITAR,,COLONIA,ATASTA DE SERRA,86100,27,TABASCO,4,Centro,1,Villahermosa                                                                                                  ,831,17.9789356,-92.94232728,2011-03
CINEPOLIS SENDERO VILLAHERMOSA,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,PERIFERICO,CARLOS PELLICER CÁMARA,1020,COLONIA,JOSE MARIA PINO SUAREZ,86029,27,TABASCO,4,Centro,1,Villahermosa                                                                                                  ,190A,18.02085385,-92.91246412,2014-12
CINEPOLIS VILLAHERMOSA,EXHIBIDORA MEXICANA CINEPOLIS,51 a 100 personas,BOULEVARD,ADOLFO RUÍZ CORTINES,1840,COLONIA,EL CARRIZAL,86108,27,TABASCO,4,Centro,1,Villahermosa                                                                                                  ,1562,17.98791663,-92.96497762,2020-04
CINEPOLIS VIP VILLAHERMOSA,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,ADOLFO RUÍZ CORTINES,1840,COLONIA,EL CARRIZAL,86108,27,TABASCO,4,Centro,1,Villahermosa                                                                                                  ,1562,17.98801599,-92.9660584,2010-07
CINESTAR,,6 a 10 personas,AVENIDA,EDUARDO PAYRO,104,COLONIA,CENTRO,86800,27,TABASCO,16,Teapa,1,Teapa                                                                                                         ,194,17.55154339,-92.95146095,2024-05
